[0.29273680972498917, -0.35995754766161214, 0.012633707025612395, -0.2431462816304657, 0.08325424652896585, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|41040|101
[0.29273680972498917, -0.35995754766161214, 0.012633707025612395, -0.2431462816304657, 0.08325424652896585, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|34540|101
[0.29273680972498917, -0.35995754766161214, -0.7101078533960463, -0.2431462816304657, 0.08325424652896585, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|40440|101
[0.29273680972498917, -0.6687123910716486, 0.012633707025612395, -0.2431462816304657, 0.08325424652896585, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|34560|101
[0.29273680972498917, -0.35995754766161214, 0.012633707025612395, -0.2431462816304657, 0.16399838816845058, -0.7865135453937053, -0.1742107912531552, 0.7057091195010059]|42060|101
[0.29273680972498917, 0.5334585457448375, 0.012633707025612395, -0.3946483011496311, 0.16399838816845058, -0.7865135453937053, -0.1742107912531552, 0.7057091195010059]|32000|101
[0.29273680972498917, 0.5334585457448375, 0.012633707025612395, -0.3946483011496311, 0.16399838816845058, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|54960|103
[0.29273680972498917, -0.35995754766161214, 0.012633707025612395, -0.3946483011496311, 0.23029373029326372, -0.7865135453937053, -0.1742107912531552, 0.7057091195010059]|41700|101
[0.29273680972498917, -0.35995754766161214, 0.012633707025612395, -0.3946483011496311, 0.08325424652896585, -0.7865135453937053, -0.1742107912531552, 0.7057091195010059]|40080|101
[0.29273680972498917, -0.5182798411512719, -0.3531253001282859, -0.3946483011496311, 0.23029373029326372, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|33420|78
[0.29273680972498917, -0.35995754766161214, 0.012633707025612395, -0.017392330152463664, 0.08325424652896585, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|38900|101
[0.29273680972498917, -0.35995754766161214, -0.546226654851014, -0.3946483011496311, 0.23029373029326372, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|40480|101
[0.29273680972498917, -0.35995754766161214, -0.8282884474271797, -0.3946483011496311, -0.28327496163276433, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|38800|101
[0.29273680972498917, -0.35995754766161214, -0.546226654851014, -0.3946483011496311, 0.23029373029326372, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|41180|103
