[0.29273680972498917, -0.35995754766161214, 0.012633707025612395, -0.2431462816304657, 0.08325424652896585, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|676960|517
[0.29273680972498917, -0.35995754766161214, 0.012633707025612395, -0.2431462816304657, 0.08325424652896585, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|141120|235
[0.29273680972498917, -0.35995754766161214, 0.012633707025612395, -0.2431462816304657, 0.08325424652896585, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|383960|386
[0.16389494472986033, -0.35995754766161214, 0.012633707025612395, -0.2431462816304657, 0.08325424652896585, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|198240|266
[0.29273680972498917, 0.09693590831852594, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|288660|351
[0.29273680972498917, 0.5774080251264666, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|3725500|1219
[0.29273680972498917, -0.35995754766161214, -0.16657812594370247, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|237900|308
[0.29273680972498917, 0.09693590831852594, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|466240|428
[0.29273680972498917, 0.09693590831852594, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.9323473083643379, -0.1742107912531552, 0.3584059853811308]|1944340|920
[0.29273680972498917, -0.35995754766161214, -0.16657812594370247, -0.2431462816304657, -0.05000243808525062, -0.9323473083643379, -0.1742107912531552, 0.3584059853811308]|632340|475
[0.29273680972498917, 0.09693590831852594, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.9323473083643379, -0.1742107912531552, 0.3584059853811308]|676940|499
[0.29273680972498917, -0.03219721997894176, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.641557981747825, -0.1742107912531552, 0.3584059853811308]|196620|283
[0.29273680972498917, 0.09693590831852594, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1508234936980961, 0.3584059853811308]|208740|290
[0.29273680972498917, 0.7798059870206233, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.7328518467353533, -0.1508234936980961, 0.3584059853811308]|390920|381
[0.29273680972498917, 0.09693590831852594, -0.024307152776013696, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|617040|519
[0.29273680972498917, 0.7798059870206233, 0.012633707025612395, -0.2431462816304657, -0.7394510493200788, -0.7328518467353533, -0.1508234936980961, 0.3584059853811308]|98620|203
[0.29273680972498917, 0.7798059870206233, -0.024307152776013696, -0.2431462816304657, -0.7394510493200788, -0.7865135453937053, -0.1508234936980961, 0.3584059853811308]|55900|148
[0.29273680972498917, 0.7798059870206233, -0.024307152776013696, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1508234936980961, 0.3584059853811308]|366600|384
[0.29273680972498917, 0.7798059870206233, -0.024307152776013696, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1508234936980961, 0.3584059853811308]|948260|604
[0.29273680972498917, 0.7798059870206233, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|199980|271
[0.29273680972498917, 0.4417664721689538, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|170320|268
[0.29273680972498917, 0.4417664721689538, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1508234936980961, 0.3584059853811308]|592520|488
[0.29273680972498917, 0.4417664721689538, 0.012633707025612395, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1508234936980961, 0.3584059853811308]|301360|341
[0.29273680972498917, 0.40510626148106166, -0.22946745326303453, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|105160|204
[0.29273680972498917, 0.7798059870206233, -0.5257975376191815, -0.2431462816304657, -0.05000243808525062, -0.27311113139342447, -0.1742107912531552, 0.3584059853811308]|797900|541
[0.29273680972498917, 0.7798059870206233, -0.22946745326303453, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|664200|476
[0.29273680972498917, 0.7713179740700244, -0.5257975376191815, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|221900|278
[0.29273680972498917, 0.7798059870206233, -0.7241236024259521, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|154580|246
[0.29273680972498917, 0.7206206153326131, -0.22946745326303453, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|312080|340
[0.29273680972498917, 0.7713179740700244, -0.22946745326303453, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|846820|583
[0.29273680972498917, 0.2410352205537183, -0.22946745326303453, -0.2431462816304657, -0.05000243808525062, -0.7865135453937053, -0.1742107912531552, 0.3584059853811308]|485040|419
