[0.6432325256775056, -0.8760940966354052, -0.8584157363086291, -0.0722555716596307, 0.08650350618738933, -0.12304202860621194, 0.45831461780626204, 0.6727762668784356, -0.2565629457646206, -0.9400653758723831, -0.5165955682867325, -0.06858392968090166, 0.09796413013141181]|1640|17
[0.6432325256775056, -0.8760940966354052, -0.8584157363086291, -0.0722555716596307, 0.08650350618738933, -0.12304202860621194, 0.45831461780626204, 0.6727762668784356, -0.2565629457646206, -0.9400653758723831, -0.5165955682867325, -0.06858392968090166, 0.09796413013141181]|1680|17
[-0.30244707568308415, -0.8760940966354052, -0.8584157363086291, -0.0722555716596307, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, 0.9061050182222763, -0.9400653758723831, -0.5165955682867325, -0.06858392968090166, -0.9725908991934618]|30760|101
[-0.07802825826780735, -0.8760940966354052, -0.8584157363086291, -0.3727713702071449, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, -0.2565629457646206, -0.9400653758723831, -0.5165955682867325, -0.06858392968090166, -0.9725908991934618]|52280|103
[-0.30244707568308415, -0.8760940966354052, -0.8584157363086291, -0.0722555716596307, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, 0.9061050182222763, -0.9400653758723831, -0.5165955682867325, -0.06858392968090166, -0.9725908991934618]|38240|101
[-0.30244707568308415, 0.6231433809172178, -0.8584157363086291, 0.5973635532661805, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, -0.2565629457646206, -0.9400653758723831, -0.5165955682867325, -0.06858392968090166, -0.9725908991934618]|39000|101
[-0.30244707568308415, -0.8760940966354052, -0.8584157363086291, -0.0722555716596307, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, -0.2565629457646206, -0.9400653758723831, -0.5165955682867325, -0.06858392968090166, -0.9725908991934618]|45860|101
[-0.30244707568308415, -0.8760940966354052, -0.8584157363086291, 0.5973635532661805, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, -0.2565629457646206, -0.9400653758723831, -0.5165955682867325, -0.06858392968090166, -0.9725908991934618]|43840|104
[-0.30244707568308415, -0.8760940966354052, -0.8584157363086291, -0.0722555716596307, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, 0.14992268278300425, -0.599129317848623, -0.5165955682867325, -0.06858392968090166, -0.9725908991934618]|56740|101
[0.27456342370463016, -0.8760940966354052, -0.8584157363086291, -0.0722555716596307, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, 0.14992268278300425, 0.6948805728490568, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|39040|101
[-0.30244707568308415, -0.15298665570989578, -0.8584157363086291, -0.0722555716596307, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, -0.2565629457646206, -0.599129317848623, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|30980|101
[-0.30244707568308415, -0.8760940966354052, -0.8584157363086291, -0.0722555716596307, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, -0.2565629457646206, -0.599129317848623, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|43140|101
[-0.30244707568308415, -0.8760940966354052, -0.8584157363086291, -0.0722555716596307, -0.1708241485278008, -0.6109199796189095, -0.14057360196920832, 0.8420758607780694, 0.14992268278300425, -0.9400653758723831, -0.5165955682867325, -0.06858392968090166, -0.9725908991934618]|42080|98
[-0.30244707568308415, -0.8760940966354052, -0.8584157363086291, -0.0722555716596307, -0.5581068087695269, -0.6109199796189095, -0.14057360196920832, 0.8420758607780694, 0.14992268278300425, -0.599129317848623, -0.5165955682867325, -0.06858392968090166, -0.9725908991934618]|41440|103
[0.5359314677727389, -0.441671473675771, -0.8549743070250495, -0.0722555716596307, -0.1708241485278008, -0.12304202860621194, -0.14057360196920832, 0.8420758607780694, -0.2565629457646206, 0.6948805728490568, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|37380|101
[-0.30244707568308415, -0.8760940966354052, 0.897505782884739, -0.0722555716596307, -0.5581068087695269, -0.6109199796189095, -0.14057360196920832, 0.8420758607780694, 0.14992268278300425, -0.599129317848623, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|33660|101
[-0.30244707568308415, -0.8760940966354052, 0.07084133661983638, -0.0722555716596307, -0.5581068087695269, -0.6109199796189095, -0.14057360196920832, 0.3699459661048796, 0.14992268278300425, -0.599129317848623, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|49120|101
[-0.30244707568308415, -0.8760940966354052, 0.3133643983749186, -0.0722555716596307, -0.5581068087695269, -0.6109199796189095, -0.14057360196920832, 0.8420758607780694, -0.2565629457646206, 0.6948805728490568, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|38200|101
[0.5359314677727389, -0.8760940966354052, 0.3133643983749186, -0.0722555716596307, -0.5581068087695269, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, -0.2565629457646206, 0.6948805728490568, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|38600|101
[0.5359314677727389, -0.8760940966354052, 0.897505782884739, -0.0722555716596307, -0.29526981393406415, 0.4040977207089371, -0.14057360196920832, 0.8420758607780694, 0.14992268278300425, -0.599129317848623, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|37040|101
[0.5359314677727389, -0.8760940966354052, 0.897505782884739, -0.0722555716596307, -0.8503179788534825, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.14992268278300425, -0.599129317848623, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|39880|101
[0.5359314677727389, -0.8760940966354052, 0.3133643983749186, -0.0722555716596307, -0.3576379576935731, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.14992268278300425, -0.599129317848623, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|47320|102
[0.5359314677727389, -0.8760940966354052, 0.897505782884739, -0.0722555716596307, -0.5581068087695269, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.14992268278300425, 0.6948805728490568, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|38720|101
[0.5359314677727389, -0.5097185890761511, 0.3133643983749186, -0.0722555716596307, -0.3576379576935731, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.3164616872588273, -0.599129317848623, -0.5828631035836567, 0.8990410904985968, -0.495107588754109]|40880|102
[0.5359314677727389, 0.3271129371305095, 0.3133643983749186, -0.0722555716596307, -0.5532863813705562, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.14992268278300425, 0.6948805728490568, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|35820|101
[0.5359314677727389, 0.3271129371305095, -0.4276749578664447, -0.0722555716596307, -0.5532863813705562, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.16336590641103177, -0.599129317848623, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|32440|101
[0.5359314677727389, 0.3271129371305095, 0.3133643983749186, -0.0722555716596307, -0.6924054708755536, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.4613202615378622, 0.6948805728490568, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|40400|101
[0.5359314677727389, 0.3271129371305095, -0.894405716683842, -0.0722555716596307, -0.9448733038195896, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.4613202615378622, 0.6948805728490568, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|37420|101
[0.5359314677727389, 0.3271129371305095, 0.3133643983749186, -0.0722555716596307, -0.49995976193165403, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.16336590641103177, -0.599129317848623, -0.16642832234343863, 0.8990410904985968, -0.9725908991934618]|38220|95
[0.5359314677727389, 0.3271129371305095, -0.3336794036864621, -0.9166561693872319, -0.8503179788534825, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.4613202615378622, -0.3704142871904821, -0.5828631035836567, 0.7003165661060566, -0.9725908991934618]|42520|101
[0.5359314677727389, 0.3271129371305095, -0.3336794036864621, -0.9166561693872319, -0.7109134986823653, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.4613202615378622, 0.6948805728490568, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|47800|102
[-0.4312347098779099, 0.3271129371305095, -0.894405716683842, -0.0722555716596307, -0.8503179788534825, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.4613202615378622, -0.599129317848623, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|45200|104
[0.5359314677727389, 0.3271129371305095, -0.3336794036864621, -0.9166561693872319, -0.7109134986823653, 0.0781042174024269, -0.14057360196920832, 0.8420758607780694, 0.4613202615378622, 0.6948805728490568, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|53480|98
[0.1398245876007047, 0.3271129371305095, -0.3336794036864621, -0.9166561693872319, -0.49995976193165403, 0.0781042174024269, -0.2357847253732106, 0.6458007635122514, 0.4613202615378622, -0.3704142871904821, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|39720|101
[0.1398245876007047, 0.3271129371305095, -0.3336794036864621, -0.9166561693872319, -0.7814885903054913, 0.0781042174024269, -0.14057360196920832, 0.6458007635122514, 0.4613202615378622, -0.3704142871904821, -0.4027274607244937, -0.06858392968090166, -0.9725908991934618]|67720|103
[0.1398245876007047, 0.3271129371305095, 0.3093029107434073, -0.4064159860208989, -0.49995976193165403, 0.0781042174024269, 0.005209741866499362, 0.6458007635122514, 0.4613202615378622, -0.3704142871904821, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|45660|101
[0.1398245876007047, 0.3271129371305095, 0.3093029107434073, -0.4064159860208989, -0.49995976193165403, 0.0781042174024269, 0.005209741866499362, 0.6458007635122514, 0.4613202615378622, -0.3704142871904821, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|45580|104
[0.1398245876007047, 0.3271129371305095, 0.3093029107434073, -0.4064159860208989, -0.49995976193165403, 0.0781042174024269, 0.005209741866499362, 0.6458007635122514, 0.4613202615378622, -0.3704142871904821, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|55440|101
[0.9957176678571869, 0.3271129371305095, 0.3093029107434073, -0.0722555716596307, -0.49995976193165403, 0.24063412571641063, -0.6150888205402494, 0.6458007635122514, 0.4613202615378622, -0.3704142871904821, -0.7565235762774356, -0.06858392968090166, -0.9725908991934618]|41040|101
[-0.23949974990285194, 0.3271129371305095, -0.3336794036864621, -0.9166561693872319, -0.49995976193165403, 0.3403965218307252, -0.3120069137926431, 0.6458007635122514, 0.4613202615378622, -0.3704142871904821, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|54400|102
[0.1398245876007047, 0.3271129371305095, 0.9667555698795982, 0.3307676773596915, -0.49995976193165403, 0.0781042174024269, 0.005209741866499362, 0.6458007635122514, 0.4613202615378622, -0.3704142871904821, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|35620|103
[0.1398245876007047, 0.3271129371305095, -0.3336794036864621, 0.3307676773596915, -0.49995976193165403, -0.6833144519071248, -0.3120069137926431, 0.6458007635122514, 0.4613202615378622, -0.3704142871904821, -0.5828631035836567, -0.06858392968090166, -0.9725908991934618]|44060|103
[-0.23949974990285194, 0.3271129371305095, -0.3336794036864621, -0.9166561693872319, -0.49995976193165403, 0.24063412571641063, -0.3120069137926431, 0.6458007635122514, -0.17875009076171322, -0.3704142871904821, -0.5828631035836567, -0.06858392968090166, -0.7105663422372019]|38720|101
