[-0.5156770820988812, -0.23005308276421244, 0.8324331957624094, 0.27227301743802634, 0.039260209190673745, -0.07584267132541744, -0.8824665462421764, -0.29306910329632996, -0.9789894929959126, 0.290564639091188, 0.8346690355737627, -0.48120502033448176]|80|1
[0.8570749981112087, 0.6825110829008121, 0.744758382662482, 0.6819902597412999, 0.3348214973994721, -0.7095754041916491, -0.42617322067818564, 0.6592896256016898, -0.8077058550524372, -0.7704506948140024, 0.3899841243727067, -0.11938832536153066]|800|10
[0.8570749981112087, -0.23005308276421244, 0.8324331957624094, 0.27227301743802634, 0.039260209190673745, -0.07584267132541744, -0.8824665462421764, 0.3765707462975403, -0.9789894929959126, -0.658471085195325, -0.7637664684122436, 0.7696155517950911]|1520|16
[0.8570749981112087, -0.9437407144275121, 0.3999941256018642, 0.0185234024862877, 0.3348214973994721, -0.7095754041916491, -0.42617322067818564, 0.3765707462975403, -0.8077058550524372, 0.290564639091188, -0.9015496379154471, -0.48120502033448176]|4600|35
[0.09972745439200104, -0.9437407144275121, 0.3999941256018642, 0.27227301743802634, -0.6609144558355231, -0.7095754041916491, -0.42617322067818564, 0.3765707462975403, -0.8077058550524372, 0.290564639091188, -0.7643925602905361, -0.48120502033448176]|4120|32
[0.15133459345039513, -0.23005308276421244, 0.3999941256018642, 0.27227301743802634, -0.6609144558355231, -0.7095754041916491, -0.42617322067818564, 0.3765707462975403, -0.8077058550524372, 0.3822752331833297, -0.7637664684122436, -0.48120502033448176]|6320|43
[0.15133459345039513, -0.9437407144275121, -0.26329640144785693, 0.27227301743802634, -0.6609144558355231, -0.7095754041916491, -0.7198077186393754, 0.3765707462975403, -0.8077058550524372, 0.3822752331833297, -0.7637664684122436, -0.48120502033448176]|17840|80
[0.8570749981112087, -0.9437407144275121, -0.5526045513199451, 0.27227301743802634, -0.6609144558355231, -0.019705632370145887, -0.42617322067818564, 0.3765707462975403, -0.7910891994909568, 0.32467861658664465, -0.9015496379154471, -0.48120502033448176]|4400|34
[0.8570749981112087, -0.6917665938898627, -0.5526045513199451, 0.27227301743802634, 0.5551809437592357, -0.7095754041916491, -0.8824665462421764, 0.3765707462975403, -0.7910891994909568, 0.290564639091188, -0.300637616671527, -0.48120502033448176]|6080|42
[0.40940336341347083, -0.9437407144275121, -0.5526045513199451, 0.27227301743802634, 0.20415519094475876, -0.7095754041916491, -0.8824665462421764, 0.3765707462975403, -0.7910891994909568, 0.290564639091188, -0.7637664684122436, -0.48120502033448176]|13120|67
